Testcase,SrcMessage,,,,,,DstMessage,,,,,,,,Result,Remark,,
No,Channel,MsgName,MsgID,EthData,MsgValue,CycleTime (ms),Channel,MsgName,MsgID,EthData,MsgValue,CycleTime(ms),Max Delay(ms),Measure Time(ms),Result,Remark,RxData,TxTimeStamp
1,CANHS1,CANHS1_5EF_60ms,0x5EF,,0x0000000000000000,60,CANFD7,CANHS1_5EF_60ms,0x5EF,,0x0000000000000000,60,10,0,None,,"","0"
1,CANHS1,CANHS1_5EF_60ms,0x5EF,,0x0000000000000000,60,CANFD3,CANHS1_5EF_60ms,0x5EF,,0x0000000000000000,60,10,0,None,,"","0"
1,CANHS1,CANHS1_5EF_60ms,0x5EF,,0x0102040810204080,60,CANFD7,CANHS1_5EF_60ms,0x5EF,,0x0102040810204080,60,10,0,None,,"","0"
1,CANHS1,CANHS1_5EF_60ms,0x5EF,,0x0102040810204080,60,CANFD3,CANHS1_5EF_60ms,0x5EF,,0x0102040810204080,60,10,0,None,,"","0"
1,CANHS1,CANHS1_5EF_60ms,0x5EF,,0x0204081020408001,60,CANFD7,CANHS1_5EF_60ms,0x5EF,,0x0204081020408001,60,10,0,None,,"","0"
1,CANHS1,CANHS1_5EF_60ms,0x5EF,,0x0204081020408001,60,CANFD3,CANHS1_5EF_60ms,0x5EF,,0x0204081020408001,60,10,0,None,,"","0"
1,CANHS1,CANHS1_5EF_60ms,0x5EF,,0x0408102040800102,60,CANFD7,CANHS1_5EF_60ms,0x5EF,,0x0408102040800102,60,10,0,None,,"","0"
1,CANHS1,CANHS1_5EF_60ms,0x5EF,,0x0408102040800102,60,CANFD3,CANHS1_5EF_60ms,0x5EF,,0x0408102040800102,60,10,0,None,,"","0"
1,CANHS1,CANHS1_5EF_60ms,0x5EF,,0x0810204080010204,60,CANFD7,CANHS1_5EF_60ms,0x5EF,,0x0810204080010204,60,10,0,None,,"","0"
1,CANHS1,CANHS1_5EF_60ms,0x5EF,,0x0810204080010204,60,CANFD3,CANHS1_5EF_60ms,0x5EF,,0x0810204080010204,60,10,0,None,,"","0"
1,CANHS1,CANHS1_5EF_60ms,0x5EF,,0x1020408001020408,60,CANFD7,CANHS1_5EF_60ms,0x5EF,,0x1020408001020408,60,10,0,None,,"","0"
1,CANHS1,CANHS1_5EF_60ms,0x5EF,,0x1020408001020408,60,CANFD3,CANHS1_5EF_60ms,0x5EF,,0x1020408001020408,60,10,0,None,,"","0"
1,CANHS1,CANHS1_5EF_60ms,0x5EF,,0x2040800102040810,60,CANFD7,CANHS1_5EF_60ms,0x5EF,,0x2040800102040810,60,10,0,None,,"","0"
1,CANHS1,CANHS1_5EF_60ms,0x5EF,,0x2040800102040810,60,CANFD3,CANHS1_5EF_60ms,0x5EF,,0x2040800102040810,60,10,0,None,,"","0"
