Testcase,SrcMessage,,,,,,DstMessage,,,,,,,,Result,Remark,,
No,Channel,MsgName,MsgID,EthData,MsgValue,CycleTime (ms),Channel,MsgName,MsgID,EthData,MsgValue,CycleTime(ms),Max Delay(ms),Measure Time(ms),Result,Remark,RxData,TxTimeStamp
1,CANHS1,CANHS1_5EF_60ms,0x5EF,,0x0000000000000000,60,CANFD7,CANHS1_5EF_60ms,0x5EF,,0x0000000000000000,60,10,0,None,,,0
1,CANHS1,CANHS1_5EF_60ms,0x5EF,,0x0000000000000000,60,ETH5,CANHS1_5EF_60ms,0x5EF,50001-50160-10.0.0.1-239.0.0.160-02:00:00:00:00:01-01:00:5E:00:00:A0-0x81-7,0x0000000000000000,60,10,0,None,,,0
1,CANHS1,CANHS1_5EF_60ms,0x5EF,,0x0000000000000000,60,ETH7,CANHS1_5EF_60ms,0x5EF,50001-50160-10.0.0.1-239.0.0.160-02:00:00:00:00:01-01:00:5E:00:00:A0-0x81-7,0x0000000000000000,60,10,0,None,,,0
1,CANHS1,CANHS1_5EF_60ms,0x5EF,,0x0000000000000000,60,CANFD3,CANHS1_5EF_60ms,0x5EF,,0x0000000000000000,60,10,0,None,,,0
1,CANHS1,CANHS1_5EF_60ms,0x5EF,,0x0102040810204080,60,CANFD7,CANHS1_5EF_60ms,0x5EF,,0x0102040810204080,60,10,0,None,,,0
1,CANHS1,CANHS1_5EF_60ms,0x5EF,,0x0102040810204080,60,ETH5,CANHS1_5EF_60ms,0x5EF,50001-50160-10.0.0.1-239.0.0.160-02:00:00:00:00:01-01:00:5E:00:00:A0-0x81-7,0x0102040810204080,60,10,0,None,,,0
1,CANHS1,CANHS1_5EF_60ms,0x5EF,,0x0102040810204080,60,ETH7,CANHS1_5EF_60ms,0x5EF,50001-50160-10.0.0.1-239.0.0.160-02:00:00:00:00:01-01:00:5E:00:00:A0-0x81-7,0x0102040810204080,60,10,0,None,,,0
1,CANHS1,CANHS1_5EF_60ms,0x5EF,,0x0102040810204080,60,CANFD3,CANHS1_5EF_60ms,0x5EF,,0x0102040810204080,60,10,0,None,,,0
1,CANHS1,CANHS1_5EF_60ms,0x5EF,,0x0204081020408001,60,CANFD7,CANHS1_5EF_60ms,0x5EF,,0x0204081020408001,60,10,0,None,,,0
1,CANHS1,CANHS1_5EF_60ms,0x5EF,,0x0204081020408001,60,ETH5,CANHS1_5EF_60ms,0x5EF,50001-50160-10.0.0.1-239.0.0.160-02:00:00:00:00:01-01:00:5E:00:00:A0-0x81-7,0x0204081020408001,60,10,0,None,,,0
